,DRUG_NAME,STRUCT_ID,TARGET_NAME,TARGET_CLASS,ACCESSION,GENE,SWISSPROT,ACT_VALUE,ACT_UNIT,ACT_TYPE,ACT_COMMENT,ACT_SOURCE,RELATION,MOA,MOA_SOURCE,ACT_SOURCE_URL,MOA_SOURCE_URL,ACTION_TYPE,TDL,ORGANISM,NEW_ID
2798,clozapine,722,Muscarinic acetylcholine receptor,GPCR,P08482|P08483|P08485|P08911|P10980,Chrm1|Chrm3|Chrm4|Chrm5|Chrm2,ACM1_RAT|ACM3_RAT|ACM4_RAT|ACM5_RAT|ACM2_RAT,7.6,,Ki,In vitro binding affinity against Muscarinic acetylcholine receptors in rat brain.,CHEMBL,=,,,,,,,Rattus norvegicus,RGD:2342
2804,clozapine,722,Adenylate cyclase,Enzyme,D4A3N4|P21932|P26769|P26770|P40146|Q03343|Q04400|Q8CFM9,Adcy1|Adcy3|Adcy2|Adcy4|Adcy8|Adcy6|Adcy5,D4A3N4_RAT|ADCY3_RAT|ADCY2_RAT|ADCY4_RAT|ADCY8_RAT|ADCY6_RAT|ADCY5_RAT|Q8CFM9_RAT,6.85,,IC50,Inhibition of dopamine-sensitive rat brain adenylyl cyclase activity assessed as cAMP level,CHEMBL,=,,,,,,,Rattus norvegicus,RGD:1309318
2824,cocaine,723,Muscarinic acetylcholine receptor M1,GPCR,P08482,Chrm1,ACM1_RAT,4.21,,Ki,Displacement of [3H]pirenzepine from muscarinic acetylcholine receptor M1 of rat brain membrane,CHEMBL,=,,,,,,,Rattus norvegicus,RGD:2342
2852,colforsin daropate,729,Adenylate cyclase type 1,Enzyme,Q08828,ADCY1,ADCY1_HUMAN,7.39,,IC50,Inhibition of [125 I]6-IHPP-forskolin binding to adenylate cyclase 1,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:232
2896,cyamemazine,746,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.886,,Ki,,PDSP,=,,,,,,Tclin,Homo sapiens,HGNC:1950
2908,cyclizine,749,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,6.787999999999999,,Ki,DRUGMATRIX: Muscarinic M1 radioligand binding (ligand: [3H] N-Methylscopolamine),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:1950
2927,cyclobenzaprine,751,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,6.95,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:1950
2988,cycrimine,763,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,,,,,WOMBAT-PK,,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201227,ANTAGONIST,Tclin,Homo sapiens,HGNC:1950
3008,cyproheptadine,765,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,8.0,,Ki,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:1950
3031,cyproheptadine,765,Muscarinic acetylcholine receptor,GPCR,P08482|P08483|P08485|P08911|P10980,Chrm1|Chrm3|Chrm4|Chrm5|Chrm2,ACM1_RAT|ACM3_RAT|ACM4_RAT|ACM5_RAT|ACM2_RAT,8.4,,Ki,Displacement of [3H]- QNB binding at the muscarinic-cholinergic binding site of rat brain S1,CHEMBL,=,,,,,,,Rattus norvegicus,RGD:2342
3118,darifenacin,784,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,8.3,,Ki,GRAC: human M1 antagonist,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:1950
3132,dasatinib,785,Proto-oncogene tyrosine-protein kinase Src,Kinase,P12931,SRC,SRC_HUMAN,9.68,,Kd,Binding constant for SRC kinase domain,CHEMBL,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1421,INHIBITOR,Tclin,Homo sapiens,HGNC:11283
3155,dasatinib,785,Tyrosine-protein kinase Lyn,Kinase,P07948,LYN,LYN_HUMAN,9.24,,Kd,Binding constant for LYN kinase domain,CHEMBL,=,,,,,INHIBITOR,Tclin,Homo sapiens,HGNC:6735
3199,dasatinib,785,Proto-oncogene tyrosine-protein kinase Src,Kinase,P00523,SRC,SRC_CHICK,7.96,,Kd,Activity of wild type chicken c N-terminal His-tagged Src expressed in Escherichia coli BL21 (DE3),CHEMBL,=,,,,,,,Gallus gallus,ENSEMBL:ENSGALG00000003855
3275,decamethonium,789,Muscle-type nicotinic acetylcholine receptor,Ion channel,P02708|P07510|P11230|Q04844|Q07001,CHRNA1|CHRNG|CHRNB1|CHRNE|CHRND,ACHA_HUMAN|ACHG_HUMAN|ACHB_HUMAN|ACHE_HUMAN|ACHD_HUMAN,,,,Mechanism of Action; CHEMBL2362997; PROTEIN COMPLEX GROUP,CHEMBL,,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1190,PARTIAL AGONIST,Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin,Homo sapiens,HGNC:1955
3324,desipramine,812,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,6.76,,Ki,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:1950
3359,desloratadine,814,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.74,,Ki,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:1950
3425,dexetimide,831,Muscarinic acetylcholine receptor,GPCR,P12657|P32211|Q920H4|Q9ERZ3|Q9ERZ4,Chrm1|Chrm4|Chrm5|Chrm3|Chrm2,ACM1_MOUSE|ACM4_MOUSE|ACM5_MOUSE|ACM3_MOUSE|ACM2_MOUSE,8.48,,IC50,Ability (10 ug/kg) to inhibit binding of [125I]iododexetimide to muscarinic receptor in mice,CHEMBL,=,,,,,,,Mus musculus,MGI:88396
3438,dexfenfluramine,832,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,5.733,,Ki,,PDSP,=,,,,,,Tclin,Homo sapiens,HGNC:1950
3481,dexniguldipine,837,Voltage-gated L-type calcium channel,Ion channel,P22002|P27732|Q02485,Cacna1c|Cacna1d|Cacna1s,CAC1C_RAT|CAC1D_RAT|CAC1S_RAT,7.22,,Ki,Inhibition of [3H]-isradipine binding to L-type [Ca2+] channel of rat brain membranes,CHEMBL,=,,,,,,,Rattus norvegicus,RGD:2245
3482,dexniguldipine,837,Voltage-gated L-type calcium channel,Ion channel,Q01668|Q13936,CACNA1D|CACNA1C,CAC1D_HUMAN|CAC1C_HUMAN,,,,Mechanism of Action,SCIENTIFIC LITERATURE,,1.0,SCIENTIFIC LITERATURE,https://pubmed.ncbi.nlm.nih.gov/2547493,https://pubmed.ncbi.nlm.nih.gov/2547493,BLOCKER,Tclin|Tclin|Tclin|Tclin,Homo sapiens,HGNC:1391
3627,dicloxacillin,866,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,5.96,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:1950
3655,dicycloverine,868,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,9.079,,Ki,DRUGMATRIX: Muscarinic M1 radioligand binding (ligand: [3H] N-Methylscopolamine),DRUG MATRIX,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1123,ANTAGONIST,Tclin,Homo sapiens,HGNC:1950
3663,dicycloverine,868,Muscarinic acetylcholine receptor M1,GPCR,P08482,Chrm1,ACM1_RAT,8.61,,Ki,Displacement of [3H]pirenzepine from muscarinic acetylcholine receptor M1 in rat cortex homogenates,CHEMBL,=,,,,,,,Rattus norvegicus,RGD:2342
3690,diethylstilbestrol,875,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,5.437,,Ki,DRUGMATRIX: Muscarinic M1 radioligand binding (ligand: [3H] N-Methylscopolamine),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:1950
3840,diltiazem,897,Voltage-dependent L-type calcium channel subunit alpha-1C,Ion channel,Q13936,CACNA1C,CAC1C_HUMAN,7.319,,IC50,,WOMBAT-PK,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL23,BLOCKER,Tclin,Homo sapiens,HGNC:1390
3842,diltiazem,897,Voltage-dependent L-type calcium channel subunit alpha-1S,Ion channel,Q13698,CACNA1S,CAC1S_HUMAN,6.42,,Ki,Displacement of [3H]diltiazem from L-type calcium channel of guinea pig striated muscle,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:1397
3845,diltiazem,897,Voltage-dependent L-type calcium channel subunit alpha-1C,Ion channel,P22002,Cacna1c,CAC1C_RAT,7.27,,IC50,Ability to inhibit [3H]nitrendipine binding to the L-type calcium channel receptor(CCR) in rat heart homogenate.,CHEMBL,=,,,,,,,Rattus norvegicus,RGD:2245
3846,diltiazem,897,Voltage-dependent L-type calcium channel subunit alpha-1D,Ion channel,P27732,Cacna1d,CAC1D_RAT,7.34,,IC50,"Inhibition of [3H]nitrendipine binding to L-type [Ca2+] channel in rat cortex homogenate, activity expressed as pIC50",CHEMBL,=,,,,,,,Rattus norvegicus,RGD:70973
3849,diltiazem,897,Voltage-gated L-type calcium channel,Ion channel,P22002|P27732|Q02485,Cacna1c|Cacna1d|Cacna1s,CAC1C_RAT|CAC1D_RAT|CAC1S_RAT,7.8,,Ki,Inhibitory constant against calcium channel receptors (CCRs),CHEMBL,=,,,,,,,Rattus norvegicus,RGD:2245
3852,diltiazem,897,Voltage-dependent L-type calcium channel subunit alpha-1F,Ion channel,Q9JIS7,Cacna1f,CAC1F_MOUSE,4.0,,IC50,,IUPHAR,=,,,,,BLOCKER,,Mus musculus,MGI:1859639
3862,dimenhydrinate,901,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,6.962999999999999,,Ki,DRUGMATRIX: Muscarinic M1 radioligand binding (ligand: [3H] N-Methylscopolamine),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:1950
3872,dimetindene,903,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,6.58,,Ki,,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:1950
3877,dimethyltubocurarinium,908,Acetylcholine receptor,Ion channel,P02708|P11230|Q07001,CHRNA1|CHRNB1|CHRND,ACHA_HUMAN|ACHB_HUMAN|ACHD_HUMAN,7.745,,IC50,,WOMBAT-PK,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1259,ANTAGONIST,Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin,Homo sapiens,HGNC:1955
3923,diphemanil,915,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,,,,Mechanism of Action; CHEMBL216; SINGLE PROTEIN,CHEMBL,,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201340,ANTAGONIST,Tclin,Homo sapiens,HGNC:1950
3932,diphenhydramine,916,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.0,,Ki,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:1950
3946,diphenylpyraline,920,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.699,,Ki,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:1950
3980,disopyramide,926,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,,,,,WOMBAT-PK,,,,,,,Tclin,Homo sapiens,HGNC:1950
4164,dopamine,947,Adenylate cyclase,Enzyme,D4A3N4|P21932|P26769|P26770|P40146|Q03343|Q04400|Q8CFM9,Adcy1|Adcy3|Adcy2|Adcy4|Adcy8|Adcy6|Adcy5,D4A3N4_RAT|ADCY3_RAT|ADCY2_RAT|ADCY4_RAT|ADCY8_RAT|ADCY6_RAT|ADCY5_RAT|Q8CFM9_RAT,5.46,,EC50,Tested for ability to stimulate dopamine sensitive adenylate cyclase in rat caudate homogenate,CHEMBL,=,,,,,,,Rattus norvegicus,RGD:1309318
4208,dosulepin,951,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.744,,Ki,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:1950
4251,doxepin,956,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.42,,Ki,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:1950
4268,doxorubicin,960,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,5.433,,Ki,DRUGMATRIX: Muscarinic M1 radioligand binding (ligand: [3H] N-Methylscopolamine),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:1950
4329,drotaverine,969,Voltage-dependent L-type calcium channel subunit alpha-1C,Ion channel,Q13936,CACNA1C,CAC1C_HUMAN,,,,,WOMBAT-PK,,,,,,,Tclin,Homo sapiens,HGNC:1390
4330,droxidopa,971,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.1,,Ki,,IUPHAR,=,,,,,ANTAGONIST,Tclin,Homo sapiens,HGNC:1950
4332,droxidopa,971,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.1,,Ki,,IUPHAR,=,,,,,ANTAGONIST,Tclin,Homo sapiens,HGNC:1950
4375,ebastine,977,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,5.96,,IC50,Compound is evaluated for in vitro receptor binding affinity against Muscarinic acetylcholine receptor M1,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:1950
4418,econazole,983,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,6.197,,Ki,DRUGMATRIX: Muscarinic M1 radioligand binding (ligand: [3H] N-Methylscopolamine),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:1950
4474,edetic acid,987,Amyloid beta A4 protein,Unclassified,P05067,APP,A4_HUMAN,5.11,,IC50,Inhibition of amyloid beta aggregation (unknown origin) after 4 hrs by thioflavin S assay in presence of Zn2+,CHEMBL,=,,,,,,,Homo sapiens,HGNC:620
4491,efonidipine,992,Voltage-gated L-type calcium channel,Ion channel,Q01668|Q13936,CACNA1D|CACNA1C,CAC1D_HUMAN|CAC1C_HUMAN,,,,Mechanism of Action,DRUG LABEL,,1.0,SCIENTIFIC LITERATURE,,https://pubmed.ncbi.nlm.nih.gov/17276408,BLOCKER,Tclin|Tclin|Tclin|Tclin,Homo sapiens,HGNC:1391
4523,endralazine,1008,Voltage-dependent L-type calcium channel subunit alpha-1C,Ion channel,Q13936,CACNA1C,CAC1C_HUMAN,,,,,WOMBAT-PK,,,,,,,Tclin,Homo sapiens,HGNC:1390
4664,ergotamine,1043,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,6.064,,Ki,,PDSP,,,,,,,Tclin,Homo sapiens,HGNC:1950
4696,erlotinib,1045,Proto-oncogene tyrosine-protein kinase Src,Kinase,P12931,SRC,SRC_HUMAN,6.15,,Kd,Binding constant for SRC kinase domain,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:11283
4708,erlotinib,1045,Focal adhesion kinase 1,Kinase,Q05397,PTK2,FAK1_HUMAN,5.13,,IC50,Inhibition of FAK (unknown origin) assembly preincubated with enzyme followed by GTP addition measured after 20 mins by spectrophotometric analysis,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:9611
4719,erlotinib,1045,Tyrosine-protein kinase Lyn,Kinase,P07948,LYN,LYN_HUMAN,6.28,,Kd,Binding constant for LYN kinase domain,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:6735
4754,erlotinib,1045,Proto-oncogene tyrosine-protein kinase Src,Kinase,P00523,SRC,SRC_CHICK,6.0,,IC50,Inhibition of chicken cSrc single mutant expressed in Escherichia coli,CHEMBL,=,,,,,,,Gallus gallus,ENSEMBL:ENSGALG00000003855
4814,escitalopram,1053,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,5.9060000000000015,,Ki,,PDSP,,,,,,,Tclin,Homo sapiens,HGNC:1950
4832,estradiol,1057,Calcium-activated potassium channel subunit alpha-1,Ion channel,Q12791,KCNMA1,KCMA1_HUMAN,5.6,,EC50,,IUPHAR,=,,,,,ACTIVATOR,Tclin,Homo sapiens,HGNC:6284
4864,estramustine phosphate,1066,Tyrosine-protein phosphatase non-receptor type 1,Enzyme,P18031,PTPN1,PTN1_HUMAN,4.2,,IC50,Inhibition of recombinant PTP1B,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:9642
4935,profenamine,1086,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,,,,,WOMBAT-PK,,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1206,ANTAGONIST,Tclin,Homo sapiens,HGNC:1950
4941,profenamine,1086,Muscarinic acetylcholine receptor M1,GPCR,P08482,Chrm1,ACM1_RAT,8.51,,Ki,Displacement of [<sup<3</sup>H]QNB binding in rat forebrain brain homogenate.,IUPHAR,=,,,,,ANTAGONIST,,Rattus norvegicus,RGD:2342
5109,felodipine,1142,Voltage-dependent L-type calcium channel subunit alpha-1C,Ion channel,Q13936,CACNA1C,CAC1C_HUMAN,,,,,WOMBAT-PK,,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1480,BLOCKER,Tclin,Homo sapiens,HGNC:1390
5110,felodipine,1142,Voltage-dependent L-type calcium channel subunit alpha-1D,Ion channel,Q01668,CACNA1D,CAC1D_HUMAN,,,,,WOMBAT-PK,,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1480,BLOCKER,Tclin,Homo sapiens,HGNC:1391
5137,fenfluramine,1150,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,6.016,,Ki,,PDSP,,,,,,,Tclin,Homo sapiens,HGNC:1950
5311,flunarizine,1200,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,6.151,,Ki,DRUGMATRIX: Muscarinic M1 radioligand binding (ligand: [3H] N-Methylscopolamine),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:1950
5379,fluoxetine,1209,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,6.0470000000000015,,Ki,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:1950
5440,fluphenazine,1212,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,6.0,,Ki,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:1950
5475,fluphenazine,1212,Adenylate cyclase,Enzyme,D4A3N4|P21932|P26769|P26770|P40146|Q03343|Q04400|Q8CFM9,Adcy1|Adcy3|Adcy2|Adcy4|Adcy8|Adcy6|Adcy5,D4A3N4_RAT|ADCY3_RAT|ADCY2_RAT|ADCY4_RAT|ADCY8_RAT|ADCY6_RAT|ADCY5_RAT|Q8CFM9_RAT,7.1,,IC50,The compound was tested for adenylate cyclase activity in rat corpus striatum,CHEMBL,=,,,,,,,Rattus norvegicus,RGD:1309318
5492,fluphenazine enanthate,1214,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,5.961,,Ki,,PDSP,=,,,,,,Tclin,Homo sapiens,HGNC:1950
5670,gallamine,1273,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,5.07,,Ki,Competitive inhibition of EGFP-fused human M1 receptor N-terminal truncated at 17 residues expressed in HEK293 cells after 4 hrs by FRET assay in presence of para-LRB-AC42,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:1950
5675,gallamine,1273,Acetylcholine receptor subunit alpha,Ion channel,P02708,CHRNA1,ACHA_HUMAN,6.0,,IC50,,IUPHAR,~,,,,,BLOCKER,Tclin,Homo sapiens,HGNC:1955
5714,gefitinib,1282,Tyrosine-protein kinase Lyn,Kinase,P07948,LYN,LYN_HUMAN,6.0,,Kd,Binding constant for LYN kinase domain,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:6735
5775,gefitinib,1282,Proto-oncogene tyrosine-protein kinase Src,Kinase,P12931,SRC,SRC_HUMAN,5.42,,Kd,,SCIENTIFIC LITERATURE,,,,https://pubmed.ncbi.nlm.nih.gov/22037378,,,Tclin,Homo sapiens,HGNC:11283
5954,haloperidol,1353,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,5.8,,Ki,Binding affinity to human cloned muscarinic M1 receptor,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:1950
5974,haloperidol,1353,Muscarinic acetylcholine receptor M1,GPCR,P08482,Chrm1,ACM1_RAT,5.74,,Ki,Compound was tested for the binding affinity against rat cortical Muscarinic acetylcholine receptor M1 by Radio ligand [3H]pirenzepine binding assay.,CHEMBL,=,,,,,,,Rattus norvegicus,RGD:2342
5997,haloperidol,1353,Muscarinic acetylcholine receptor,GPCR,P08482|P08483|P08485|P08911|P10980,Chrm1|Chrm3|Chrm4|Chrm5|Chrm2,ACM1_RAT|ACM3_RAT|ACM4_RAT|ACM5_RAT|ACM2_RAT,5.13,,Ki,In vitro binding affinity against Muscarinic acetylcholine receptors in rat brain.,CHEMBL,=,,,,,,,Rattus norvegicus,RGD:2342
6005,haloperidol,1353,Adenylate cyclase,Enzyme,D4A3N4|P21932|P26769|P26770|P40146|Q03343|Q04400|Q8CFM9,Adcy1|Adcy3|Adcy2|Adcy4|Adcy8|Adcy6|Adcy5,D4A3N4_RAT|ADCY3_RAT|ADCY2_RAT|ADCY4_RAT|ADCY8_RAT|ADCY6_RAT|ADCY5_RAT|Q8CFM9_RAT,5.64,,IC50,Inhibition of dopamine-sensitive rat brain adenylyl cyclase activity assessed as cAMP level,CHEMBL,=,,,,,,,Rattus norvegicus,RGD:1309318
6100,hexocyclium,1371,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,,,,,UNKNOWN,,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201325,ANTAGONIST,Tclin,Homo sapiens,HGNC:1950
6105,hexocyclium,1371,Muscarinic acetylcholine receptor M1,GPCR,P08482,Chrm1,ACM1_RAT,8.6,,Ki,,IUPHAR,=,,,,,ANTAGONIST,,Rattus norvegicus,RGD:2342
6125,homatropine,1379,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.495,,Ki,DRUGMATRIX: Muscarinic M1 radioligand binding (ligand: [3H] N-Methylscopolamine),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:1950
6132,hydralazine,1384,Voltage-dependent L-type calcium channel subunit alpha-1C,Ion channel,Q13936,CACNA1C,CAC1C_HUMAN,,,,,WOMBAT-PK,,,,,,,Tclin,Homo sapiens,HGNC:1390
6147,hydrochlorothiazide,1385,Calcium-activated potassium channel subunit alpha-1,Ion channel,Q12791,KCNMA1,KCMA1_HUMAN,,,,,WOMBAT-PK,,,,,,,Tclin,Homo sapiens,HGNC:6284
6176,hydroxychloroquine,1395,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,4.81,,Ki,Activity of compound against Muscarinic acetylcholine receptor M1 (CHRM1) by displacement of 3H-QNB,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:1950
6204,hyoscyamine,1402,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,9.0,,Ki,,WOMBAT-PK,=,1.0,KEGG DRUG,,http://www.kegg.jp/entry/D00147,ANTAGONIST,Tclin,Homo sapiens,HGNC:1950
6308,imatinib,1423,Proto-oncogene tyrosine-protein kinase Src,Kinase,P12931,SRC,SRC_HUMAN,4.51,,Ki,Inhibition of recombinant human c-Src,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:11283
6326,imatinib,1423,Tyrosine-protein kinase Lyn,Kinase,P07948,LYN,LYN_HUMAN,6.05,,Kd,Binding constant for LYN kinase domain,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:6735
6348,imatinib,1423,Proto-oncogene tyrosine-protein kinase Src,Kinase,P00523,SRC,SRC_CHICK,5.56,,IC50,Inhibition of chicken wild-type cSRC (251 to 533)-mediated phosphorylation of biotinylated poly-Glu-Tyr expressed in Escherichia coli BL21(DE3) preincubated for 30 to 60 mins prior to substrate addition by TR-FRET assay,CHEMBL,=,,,,,,,Gallus gallus,ENSEMBL:ENSGALG00000003855
6385,imipramine,1427,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.3770000000000024,,Ki,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:1950
6392,imipramine,1427,Major prion protein,Surface antigen,P04156,PRNP,PRIO_HUMAN,5.0,,EC50,Half maximal inhibition of Prion protein PrPsc formation was assayed in ScN2a cells,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:9449
6408,imipramine,1427,Muscarinic acetylcholine receptor,GPCR,P08482|P08483|P08485|P08911|P10980,Chrm1|Chrm3|Chrm4|Chrm5|Chrm2,ACM1_RAT|ACM3_RAT|ACM4_RAT|ACM5_RAT|ACM2_RAT,7.19,,Ki,Binding affinity against Muscarinic acetylcholine receptor was determined in homogenized rat cortex tissue using [3H]N-methylscopolamine as radioligand,CHEMBL,=,,,,,,,Rattus norvegicus,RGD:2342
6518,ipratropium,1475,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,9.31,,Ki,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:1950
6524,ipratropium,1475,Muscarinic acetylcholine receptor M1,GPCR,P08482,Chrm1,ACM1_RAT,9.54,,Ki,Displacement of [3H]-NMS from Sprague-Dawley rat muscarinic M1 receptor in cortex membrane,CHEMBL,=,,,,,,,Rattus norvegicus,RGD:2342
6626,isopropamide,1500,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,,,,Mechanism of Action; CHEMBL216; SINGLE PROTEIN,CHEMBL,,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201232,ANTAGONIST,Tclin,Homo sapiens,HGNC:1950
6649,isradipine,1511,Voltage-dependent L-type calcium channel subunit alpha-1C,Ion channel,Q13936,CACNA1C,CAC1C_HUMAN,8.8,,IC50,,IUPHAR,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL399539,GATING INHIBITOR,Tclin,Homo sapiens,HGNC:1390
6650,isradipine,1511,Voltage-dependent L-type calcium channel subunit alpha-1D,Ion channel,Q01668,CACNA1D,CAC1D_HUMAN,9.3,,IC50,Recombinant Ca<sub>v</sub>1.3 calcium channel complexes expressed in tsA201-cells,IUPHAR,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL399539,GATING INHIBITOR,Tclin,Homo sapiens,HGNC:1391
